id,description,latitude,longitude,name,categories,prefecture,address
16407,,40.85434341,25.87114143,6ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,60,25,ΤΡΑΠΕΖΟΥΝΤΟΣ
16408,,40.85438919,25.87149429,6ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,60,25,ΤΡΑΠΕΖΟΥΝΤΟΣ
16409,,40.85691833,25.93988419,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΙΣΤΡΟΥ ΑΛΕΞ/ΠΟΛΗΣ,60,25,ΑΜΦΙΤΡΙΤΗΣ ΜΑΪΣΤΡΟΣ
16410,,41.3463974,26.49393272,2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΙΔΥΜΟΤΕΙΧΟΥ,60,25,ΤΕΡΜΑ ΚΩΛΛΕΤΤΗ
16411,,41.3463974,26.49393272,3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΙΔΥΜΟΤΕΙΧΟΥ,60,25,ΔΙΟΙΚΗΤΗΡΙΟΥ
16412,,41.3463974,26.49393272,3ο ΝΗΠΙΑΓΩΓΕΙΟ ΔΙΔΥΜΟΤΕΙΧΟΥ,60,25,ΔΙΟΙΚΗΤΗΡΙΟΥ
16413,,41.37314987,26.46045303,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΕΛΛΗΝΟΧΩΡΙΟΥ,60,25,ΕΛΛΗΝΟΧΩΡΙ
16414,,41.43153381,26.56250191,ΝΗΠΙΑΓΩΓΕΙΟ ΘΟΥΡΙΟΥ,60,25,ΘΟΥΡΙΟ
16415,,38.48669815,22.89026642,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΘΟΥΡΙΟΥ,60,25,ΘΟΥΡΙΟ
16416,,41.26885986,26.38633728,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΒΑΡΩΝ,60,25,ΑΡΙΣΤΟΤΕΛΟΥΣ
16417,,41.40742111,26.4015007,ΝΗΠΙΑΓΩΓΕΙΟ ΜΑΝΗΣ,60,25,ΜΑΝΗ
16418,,41.50136185,26.46655846,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΠΤΗΣ ΟΡΕΣΤΙΑΔΑΣ,60,25,ΛΕΠΤΗ
16419,,41.50661469,26.53204155,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΟΡΕΣΤΙΑΔΑΣ,60,25,ΒΑΣΙΛΕΩΣ ΚΩΝΣΤΑΝΤΙΝΟΥ
16420,,41.50309753,26.52717781,1ο ΝΗΠΙΑΓΩΓΕΙΟ ΟΡΕΣΤΙΑΔΑΣ,60,25,ΛΟΧΑΓΟΥ ΔΙΑΜΑΝΤΗ
16421,,41.50163269,26.53184891,2ο ΝΗΠΙΑΓΩΓΕΙΟ ΟΡΕΣΤΙΑΔΑΣ,60,25,ΑΘΑΝΑΣΙΟΥ ΠΑΝΤΑΖΙΔΗ
16422,,41.50657654,26.53212929,2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΟΡΕΣΤΙΑΔΑΣ,60,25,ΟΡΕΣΤΟΥ
16423,,41.50657654,26.53212929,2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΟΡΕΣΤΙΑΔΑΣ,60,25,ΟΡΕΣΤΟΥ
16424,,41.51031113,26.53001976,3ο ΝΗΠΙΑΓΩΓΕΙΟ ΟΡΕΣΤΙΑΔΑΣ,60,25,ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ
16425,,41.50654984,26.53199577,3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΟΡΕΣΤΙΑΔΑΣ,60,25,ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ
16426,,41.51277161,26.52770424,4ο ΝΗΠΙΑΓΩΓΕΙΟ ΟΡΕΣΤΙΑΔΑΣ,60,25,ΑΝΑΓΕΝΝΗΣΕΩΣ
